Chi	Eng	Gender
雅婷  	Daisy	F
建成  	Mack	M
姵忠  	Ada	F
桂芬  	Ashley	F
欣怡  	Cody	F
盛發  	Walter	M
政善  	Caleb	M
宗念  	Tommy	M
耀德  	Richard	M
珮君  	Dana	F
志傑  	Larry	M
方芷  	Grace	F
美惠  	Jeanne	F
家士  	Ricky	M
惠青  	Day	F
志岳  	Joseph	M
冠志  	Joe	M
志文  	Isaac	M
嘉祥  	Erick	M
文忠  	Brain	M
俊宏  	Thomas	M
秀玲  	Karla	F
翠愛  	April	F
明智  	Randy	M
美輝  	Jasmine	F
俊豪  	John	M
怡文  	Rosa	F
柏芝  	Willie	F
佳亨  	Alan	M
玉梅  	Krista	F
文岳  	Danny	M
雅雯  	Claire	F
正婷  	Amy	F
詩雅  	Loretta	F
家銘  	David	M
志成  	Alexander	M
佩君  	Nora	F
成松  	Jesse	M
婉婷  	Julia	F
偉昌  	Roger	M
麗玲  	Rebecca	F
美華  	Allison	F
美娟  	Rita	F
俊傑  	Joel	M
冠中  	Chris	M
嘉慧  	Anna	F
偉哲  	Johnathan	M
芷能  	Maria	F
千怡  	Susan	F
彥智  	Lewis	M
淑芳  	Rachel	F
雅芳  	Carly	F
依婷  	Katherine	F
永菱  	Sally	F
淑羽  	Mary	F
怡婷  	Vickie	F
桂林  	Nina	F
淑華  	Peggy	F
佳容  	Helen	F
建謙  	James	M
宜靜  	Christie	F
美珍  	Penny	F
維倫  	Viola	F
家欣  	Nannie	F
志鴻  	Lula	F
文彥  	Robert	M
思修  	Kenneth	M
盈君  	Carol	F
羽隆  	Jordan	M
志明  	Scott	M
仁豪  	Mark	M
怡如  	Emma	F
文琪  	Bonnie	F
雅妮  	Charlotte	F
景弘  	Barry	M
盈如  	Kathryn	F
永恩  	Crystal	F
智真  	George	M
淑芬  	Emily	F
惠文  	Tina	F
志維  	Phillip	M
美玉  	Olivia	F
富羽  	Paul	M
珮英  	Sara	F
石盛  	Otto	M
明易  	Herman	M
順希  	Christopher	M
建志  	Jeff	M
文傑  	Andrew	M
俊賢  	Norman	M
